,user_id_str,POS tagged,Subjectivity,Polarity,TextBlob
11,802380540,"[('selamat', 'n'), ('hari', 'n'), ('guru', None), ('nasional', 'a'), ('dunia', 'n'), ('pendidikan', 'n'), ('ikut', 'n'), ('merasakan', 'n'), ('dampak', 'n'), ('dari', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('perubahan', 'n'), ('cara', 'n'), ('belajar', 'n'), ('mengajar', 'n'), ('yang', 'n'), ('dilakukan', 'n'), ('secara', 'n'), ('daring', None), ('tema', 'n'), ('hari', 'n'), ('guru', 'n'), ('tahun', 'n'), ('ini', 'n'), ('bergerak', 'n'), ('dengan', 'a'), ('hati', 'a'), ('pulihkan', 'n'), ('pendidikan', 'n'), ('kemendespdtt', None), ('harigurunasional', 'a')]",0.0,0.0,Neutral
12,71436318,"[('siswa', 'n'), ('di', 'n'), ('jambi', 'n'), ('terpapar', 'n'), ('covid', 'n'), ('belajar', 'n'), ('daring', None), ('kembali', 'n'), ('diberlakukan', 'n')]",0.0,0.0,Neutral
13,1180080035773812742,"[('pandemi', 'n'), ('covid', 'n'), ('yang', 'n'), ('memaksa', 'n'), ('kegiatan', 'n'), ('belajar', 'n'), ('mengajar', 'n'), ('dilakukan', 'n'), ('secara', 'n'), ('daring', None), ('ternyata', 'n'), ('tidak', 'n'), ('menghalangi', None), ('untuk', 'a'), ('berprestasi', 'n'), ('setidaknya', 'n'), ('hal', 'n'), ('itulah', 'n'), ('yang', 'n'), ('ditunjukkan', 'n'), ('smk', 'n'), ('umar', 'a'), ('raden', 'n'), ('said', None), ('smk', 'a'), ('rus', 'n'), ('kudus', 'n'), ('jawa', 'n'), ('tengah', 'n'), ('festivalmahakaryavokasi', 'n'), ('mahakaryavokasi', 'n'), ('vokasiland', 'n')]",0.0,0.0,Neutral
14,4865882067,"[('tahun', 'n'), ('lebih', 'n'), ('masa', 'n'), ('pendemi', 'n'), ('covid', 'n'), ('bagaimana', 'n'), ('sebuah', 'n'), ('hape', 'n'), ('menjadi', 'n'), ('sangat', 'n'), ('dibutuhkan', 'n'), ('untuk', 'a'), ('belajar', 'n'), ('daring', None), ('ada', 'n'), ('orang', 'r'), ('tua', None), ('yang', None), ('rela', 'a'), ('menjual', 'a'), ('menggadai', 'n'), ('barang', 'n'), ('berharga', 'n'), ('demi', 'n'), ('membeli', 'a'), ('sebuah', 'n'), ('hape', 'n')]",0.0,0.0,Neutral
15,1267661077061308416,"[('koramil', 'n'), ('suli', 'n'), ('jajaran', 'n'), ('kodim', 'n'), ('swg', 'n'), ('menyediakan', 'n'), ('fasilitas', 'n'), ('wifi', None), ('gratis', 'n'), ('untuk', 'a'), ('membantu', 'n'), ('siswa', 'n'), ('siswi', 'n'), ('yang', 'n'), ('terkendala', 'n'), ('dalam', 'n'), ('belajar', 'n'), ('lewat', 'n'), ('daring', None), ('di', 'a'), ('masa', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('kegiatan', 'n'), ('belajar', 'n'), ('daring', None), ('itu', 'a'), ('dilaksanakan', 'a'), ('di', 'n'), ('lingkungan', 'a'), ('makoramil', 'n'), ('suli', 'n'), ('kecamatan', 'n'), ('suli', 'n'), ('kabupaten', None), ('luwu', 'a')]",0.0,0.0,Neutral
16,1313731477050331137,"[('kabupaten', None), ('madiun', 'a'), ('targetkan', 'a'), ('persen', 'n'), ('pelajar', 'n'), ('akan', 'a'), ('divaksinasi', 'n'), ('covid', 'n'), ('pelajar', 'n'), ('tampak', 'n'), ('antusias', 'a'), ('dan', 'n'), ('mereka', 'n'), ('sangat', 'n'), ('semangat', 'n'), ('karena', 'n'), ('sudah', 'n'), ('bosan', 'a'), ('belajar', 'n'), ('secara', 'n'), ('daring', None), ('dan', 'a'), ('ingin', 'n'), ('segera', 'n'), ('masuk', 'n'), ('sekolah', 'n'), ('lagi', 'n'), ('madiungalakanvaksinasi', 'n')]",0.0,0.0,Neutral
17,1411063367532380160,"[('wkwkwk', 'n'), ('ini', 'n'), ('mah', 'n'), ('alasan', 'a'), ('doang', 'n'), ('covid', 'n'), ('giliran', 'n'), ('belajar', 'n'), ('daring', None), ('juga', 'n'), ('pasti', 'n'), ('pada', 'n'), ('maunya', None), ('offline', 'n'), ('kan', 'n'), ('biar', 'n'), ('materi', 'n'), ('masuk', 'n'), ('giliran', 'n'), ('ujian', 'a'), ('malah', 'n'), ('maunya', 'n'), ('online', 'n'), ('wkwkwk', 'n')]",0.0,0.0,Neutral
18,1328177656827764736,"[('babinsa', 'n'), ('koramil', 'n'), ('laguboti', 'n'), ('terus', 'n'), ('memantau', 'n'), ('desa', 'n'), ('binaan', 'n'), ('yang', 'n'), ('sedang', None), ('belajar', 'a'), ('di', 'n'), ('tempat', 'n'), ('terbuka', 'n'), ('secara', 'n'), ('tatap', 'n'), ('muka', 'n'), ('di', 'n'), ('masa', 'n'), ('covid', 'n'), ('belajar', 'n'), ('secara', 'n'), ('daring', None), ('terkendala', 'n'), ('jaringan', 'n'), ('kondisi', None), ('ini', 'n'), ('tentu', 'n'), ('menyulitkan', 'n'), ('proses', None), ('belajar', 'a'), ('online', 'a'), ('babinsa', 'n'), ('menyampaikan', 'n'), ('agar', 'n'), ('siswa', 'n'), ('mengikuti', 'n'), ('prokes', 'n')]",0.0,0.0,Neutral
19,1204590592971296768,"[('pelda', 'n'), ('uanja', 'a'), ('damanik', 'n'), ('bimbing', None), ('siswa', 'a'), ('tidak', 'n'), ('mampu', 'n'), ('untuk', 'a'), ('belajar', 'n'), ('siak', 'n'), ('hulu', 'n'), ('sebanyak', 'n'), ('orang', 'n'), ('siswa', 'n'), ('yang', 'n'), ('terdampak', 'n'), ('covid', 'n'), ('mengikuti', 'n'), ('belajar', 'n'), ('daring', None), ('bersama', 'n'), ('babinsa', 'n'), ('koramil', 'n'), ('sh', 'n'), ('kodim', 'n'), ('kpr', 'n'), ('pelda', 'n'), ('uanja', 'a'), ('damanik', 'n'), ('di', 'n'), ('salah', 'n'), ('satu', 'n'), ('rumah', 'n'), ('warga', 'n'), ('di', 'n'), ('desa', 'n'), ('pangkan', 'n'), ('baru', 'n'), ('kec', 'n'), ('siak', 'n'), ('hulu', 'n')]",0.0,0.0,Neutral
20,1300334452107669504,"[('bakalan', 'n'), ('rajin', None), ('belajar', 'a'), ('dan', 'n'), ('dapet', 'n'), ('nilai', 'a'), ('bagus', 'n'), ('waktu', 'n'), ('covid', 'n'), ('dan', 'n'), ('daring', None), ('malah', 'n'), ('males', 'n'), ('banget', None), ('belajar', 'a'), ('loudly', 'r'), ('crying', None), ('face', 'n'), ('loudly', 'r'), ('crying', None), ('face', 'n')]",0.6,-0.2,Negative
21,1291890126977548288,"[('membuka', 'n'), ('hari', 'n'), ('dengan', 'a'), ('dialog', 'n'), ('bersama', 'n'), ('pak', 'n'), ('suami', 'n'), ('tentang', 'n'), ('mengatasi', 'n'), ('anak', 'n'), ('yang', 'n'), ('mogok', 'n'), ('belajar', 'n'), ('daring', None), ('frowning', None), ('face', 'n'), ('fix', 'n'), ('aku', None), ('lelah', 'n'), ('covid', 'n'), ('please', 'n'), ('go', None), ('away', 'r'), ('loudly', 'r'), ('crying', None), ('face', 'n'), ('loudly', 'r'), ('crying', None), ('face', 'n'), ('aku', 'n'), ('harap', 'n'), ('semua', 'a'), ('kembali', 'n'), ('normal', 'a'), ('sekolah', 'n'), ('ibadah', 'n'), ('kerjaan', 'n')]",0.6166666666666666,-0.08333333333333333,Negative
