,full_text,user_id_str,image_url,location
33,@DivHumas_Polri MBOK YA MIKIR BANYAK KARYAWAN YG DI PHK GARA² ALASAN PANDEMI COVID. ORANGTUA YG SDH 2 X LEBARAN TIDAK BOLEH KETEMU ANAK CUCU. ADA ORGTUA AKIBAT DAGANGNYA SEPI SAMPAI NEKAT NYURI PONSEL UTK BELAJAR DARING ANAKNYA...INI BAJINGAN-BAJINGAN MALAH DIBERI IZIN KUMPUL².,1087295616240168961,,
34,PPKM Level 4 Covid-19 di Jawa-Bali 3-9 Agustus 2021  - Kegiatan belajar mengajar/pelatihan dilakukan secara daring/online.  - Kegiatan belajar mengajar/pelatihan dilakukan 50% secara daring/online dan 50% bertatap muka.   #VaksinTingkatkanImunitas Oksigen Untuk Pandemi https://t.co/H4iPyvxJmn,185101017,https://pbs.twimg.com/media/E76oOZfVIAISrBG.jpg,"Surabaya, Jatim, Indonesia"
35,Catat! Daerah Zona Merah Covid-19 Wajib Belajar Daring Juli 2021 https://t.co/3t5AdxiMbD,282667727,,"West Sumatra, Indonesia"
36,Kami sering mendapatkan pertanyaan2 di mana saya bisa belajar bahasa Rusia?   Jawabannya - di Pusat Ilmu Pengetahuan dan Kebudayaan Rusia di #Jakarta (Jl Diponegoro No 12)! Bahkan pandemi COVID-19 tidak bisa menjadi halangan  karena kini kursus bahasa Rusia juga ada secara daring https://t.co/thwW3yegUc,360374306,https://pbs.twimg.com/media/EuZCqFYU4AMrgzf.jpg,"Indonesia, Jakarta"
37,Anggota DPRD Kota Manado dari PSI  Sis Jurani Rurubua  menyediakan Wi-Fi gratis untuk membantu para siswa  mahasiswa  serta guru menjalankan proses belajar-mengajar yang dilakukan secara daring selama masa pandemi Covid-19.  https://t.co/SbxCZp1Okr,3102442327,,Jakarta Capital Region
38,Sejumlah siswa SMUN 1 Cibingbin  Kuningan  Jabar manfaatkan fasilitas wifi gratis di Koramil 1506/Cibingbin utk belajar daring. Kegiatan belajar daring ini sebagai langkah yg ditempuh akibat pandemi Covid-19. (Firen Saputra) #ElshintaLongWeekend https://t.co/3oUeQvIcm2,121640063,https://pbs.twimg.com/media/Ef8XphCU0AIEr4B.png,
39,Pada peringatan Hari Guru Nasional ini kita harus kian membangkitkan semangat belajar walau masih berada di masa pandemi Covid-19.  Segala tantangan dan adaptasi baru pada sistem belajar daring tentu tak boleh menjadi penghalang bagi para pelajar untuk menimba ilmu.,1356478042797797377,,
40,Gara gara covid  Belajar dirumah jadi daring,1260773387204546561,,"Sidoarjo, Indonesia"
41,Kalau ada 1 orang disekolah Yg positif covid 19 Otomatis bakal belajar daring lagi #Covid_19 #daring  #sekolah,1480807021884542979,,
42,Gegara Tiga Guru SMP Meninggal akibat COVID-19  Belajar Daring di Kudus Distop. #Covid19Update https://t.co/b0OS7S2A3L via @Bandungsatu.com,1323879693553037312,,"Bandung Kulon, Indonesia"
43,Banyak sekolah atau institusi pendidikan yang ternyata tidak mengindahkan ketentuan kegiatan belajar mengajar secara daring guna menekan angka penyebaran Covid-19 dan tetap menyelenggarakan pembelajaran tatap muka ...  Selengkapnya di https://t.co/hpODhVV9qc https://t.co/MWwm3dnKYz,280942957,https://pbs.twimg.com/media/E72OZMpUcAAZ7gm.jpg,
44,Menurut KBBI  guru adalah orang yang pekerjaannya mengajar. Di masa pandemi Covid-19 ini proses belajar mengajar terpaksa dilakukan secara daring. Baik guru maupun murid harus mampu beradaptasi dengan keadaan ini. https://t.co/F7bMbQ36td,3021760068,https://pbs.twimg.com/media/EnqeDG7VoAAvQoo.jpg,"Jakarta,Indonesia"
45,Jika orang tua murid belum mau anaknya mengikuti PTM terbatas  maka sekolah harus menyiapkan hybrid  sebagian belajar tatap muka di sekolah  sebagian daring dari rumah.  Semoga pandemi Covid-19 segera tertangani  semua aktivitas berjalan normal.  🔸Peran DPR #DPRuntukNegeri,1290494259791933443,,"DKI Jakarta, Indonesia"
46,5 siswa SMAN-1 Palangka Raya diduga positif COVID  belajar daring diterapkan https://t.co/kItDEODSlN,2421788773,,"Jl. RTA Milono Km 2,5 Palangka"
47,Nama: Siti khoerunnisa Kelas:Xl MIPA¹  Pengalaman belajar di rumah saat covid: Selama pandemi ini kita harus belajar daring di rumah hal ini mungkin berbeda karena tidak ada teman² dan guru yang selalu menyampaikan materi semoga lekas mereda covid 19. @teguhharyadi,1283226015074881536,,"Cikarang, Indonesia"
48,@Tonga_Nixon DPRD DKI itu ngapain ? Pada songong semua ga ada satupun pernyataan yg mengecam kerumunan gerombolan yg melawan upaya penanggulangan covid19. Woyy pelajar sdh 8 bulan bertahan mlwn covid dg belajar daring. Terus rusak begitu sj ? Otak mana otak ?  CC. @dprddkijakarta,2191579651,,"Pasuruan, Jawa Timur"
49,Kipin 4.0  Solusi Belajar Daring di Era Pandemi Covid-19 - https://t.co/2MVb2evED6  #JatengGayeng,839857283400024064,,
50,Salam Mahasura Muda! Adanya pandemi covid-19 proses belajar mengajar dilaksanakan secara daring  guna meminimalisir penyebaran covid-19.  @generasiuns_ @11MaretUniv #DariUNSuntukIndonesia #MahasuraMuda2020 #SemarPeduliPendidikan,1162191194425679873,,
51,*Here we go*  Assalamualaikum / selamat pagi Pembelajran mulai dri senin ini smpai waktu yang belum dtentukan belajar kembali daring   dkrenakan adanya kasus covid yg terbaru  Shingga kita belajar daring Jadwalnya msih sma (jdwal klas xi siang)  Utk info lanjutan tggu sja,3219102752,,"Jakarta,Indonesia"
